"category","year","prize_amount","prize_amount_adjusted"
3,1982,1150000,3514532
4,1982,1150000,3514532
5,1982,1150000,3514532
1,1983,1500000,4208719
6,1983,1500000,4208719
2,1983,1500000,4208719
3,1983,1500000,4208719
4,1983,1500000,4208719
5,1983,1500000,4208719
1,1984,1650000,4284352
6,1984,1650000,4284352
2,1984,1650000,4284352
3,1984,1650000,4284352
4,1984,1650000,4284352
5,1984,1650000,4284352
1,1985,1800000,4354442
6,1985,1800000,4354442
2,1985,1800000,4354442
3,1985,1800000,4354442
4,1985,1800000,4354442
5,1985,1800000,4354442
1,1986,2000000,4642623
6,1986,2000000,4642623
2,1986,2000000,4642623
3,1986,2000000,4642623
4,1986,2000000,4642623
5,1986,2000000,4642623
1,1987,2175000,4842453
6,1987,2175000,4842453
2,1987,2175000,4842453
3,1987,2175000,4842453
4,1987,2175000,4842453
5,1987,2175000,4842453
1,1988,2500000,5262636
6,1988,2500000,5262636
2,1988,2500000,5262636
3,1988,2500000,5262636
4,1988,2500000,5262636
5,1988,2500000,5262636
1,1989,3000000,5938490
6,1989,3000000,5938490
2,1989,3000000,5938490
3,1989,3000000,5938490
4,1989,3000000,5938490
5,1989,3000000,5938490
1,1990,4000000,7169620
6,1990,4000000,7169620
2,1990,4000000,7169620
3,1990,4000000,7169620
4,1990,4000000,7169620
5,1990,4000000,7169620
1,1991,6000000,9825752
6,1991,6000000,9825752
2,1991,6000000,9825752
3,1991,6000000,9825752
4,1991,6000000,9825752
5,1991,6000000,9825752
1,1992,6500000,10403919
6,1992,6500000,10403919
2,1992,6500000,10403919
3,1992,6500000,10403919
4,1992,6500000,10403919
5,1992,6500000,10403919
1,1993,6700000,10245356
6,1993,6700000,10245356
2,1993,6700000,10245356
3,1993,6700000,10245356
4,1993,6700000,10245356
5,1993,6700000,10245356
1,1994,7000000,10477801
6,1994,7000000,10477801
2,1994,7000000,10477801
3,1994,7000000,10477801
4,1994,7000000,10477801
5,1994,7000000,10477801
1,1995,7200000,10510515
6,1995,7200000,10510515
2,1995,7200000,10510515
3,1995,7200000,10510515
4,1995,7200000,10510515
5,1995,7200000,10510515
1,1996,7400000,10750752
6,1996,7400000,10750752
2,1996,7400000,10750752
3,1996,7400000,10750752
4,1996,7400000,10750752
5,1996,7400000,10750752
1,1997,7500000,10844112
6,1997,7500000,10844112
2,1997,7500000,10844112
3,1997,7500000,10844112
4,1997,7500000,10844112
5,1997,7500000,10844112
1,1998,7600000,11003681
6,1998,7600000,11003681
2,1998,7600000,11003681
3,1998,7600000,11003681
4,1998,7600000,11003681
5,1998,7600000,11003681
1,1999,7900000,11383718
6,1999,7900000,11383718
2,1999,7900000,11383718
3,1999,7900000,11383718
4,1999,7900000,11383718
5,1999,7900000,11383718
1,2000,9000000,12838146
6,2000,9000000,12838146
2,2000,9000000,12838146
3,2000,9000000,12838146
4,2000,9000000,12838146
5,2000,9000000,12838146
1,2001,10000000,13927869
6,2001,10000000,13927869
2,2001,10000000,13927869
3,2001,10000000,13927869
4,2001,10000000,13927869
5,2001,10000000,13927869
1,2002,10000000,13632863
6,2002,10000000,13632863
2,2002,10000000,13632863
3,2002,10000000,13632863
4,2002,10000000,13632863
5,2002,10000000,13632863
1,2003,10000000,13375315
6,2003,10000000,13375315
2,2003,10000000,13375315
3,2003,10000000,13375315
4,2003,10000000,13375315
5,2003,10000000,13375315
1,2004,10000000,13324969
6,2004,10000000,13324969
2,2004,10000000,13324969
3,2004,10000000,13324969
